Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Netherlands,Eredivisie,12/03/00,PSV Eindhoven,Utrecht,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,15/03/00,For Sittard,Ajax,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,17/03/00,Cambuur,Feyenoord,2.0,3.0,A,1.0,3.0,A,,,,,,,,,,,
Netherlands,Eredivisie,17/03/00,Nijmegen,Willem II,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,18/03/00,Heerenveen,MVV Maastricht,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,18/03/00,PSV Eindhoven,Graafschap,6.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,19/03/00,Ajax,Twente,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,19/03/00,Sparta,For Sittard,2.0,3.0,A,1.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,19/03/00,Utrecht,Vitesse,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,19/03/00,Waalwijk,Roda JC,2.0,2.0,D,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,24/03/00,AZ Alkmaar,Den Bosch,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,24/03/00,For Sittard,MVV Maastricht,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
Netherlands,Eredivisie,24/03/00,Willem II,PSV Eindhoven,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,25/03/00,Cambuur,Roda JC,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,25/03/00,Graafschap,Waalwijk,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
