Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Netherlands,Eredivisie,23/10/96,Nijmegen,For Sittard,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,23/10/96,Roda JC,Vitesse,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,23/10/96,Sparta,Volendam,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/10/96,Ajax,Waalwijk,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,26/10/96,Feyenoord,Utrecht,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,26/10/96,Graafschap,For Sittard,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,26/10/96,PSV Eindhoven,Roda JC,8.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,27/10/96,AZ Alkmaar,Nijmegen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,27/10/96,Twente,Sparta,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,27/10/96,Vitesse,Ajax,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,27/10/96,Volendam,Groningen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,27/10/96,Waalwijk,Heerenveen,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,27/10/96,Willem II,NAC Breda,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,01/11/96,For Sittard,Vitesse,1.0,5.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,02/11/96,AZ Alkmaar,Heerenveen,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
