Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Scotland,Premier League,04/03/00,Motherwell,Aberdeen,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,04/03/00,Rangers,St Johnstone,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,05/03/00,Hibernian,Celtic,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,08/03/00,Celtic,Rangers,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,11/03/00,Celtic,St Johnstone,4.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,15/03/00,Dundee United,Kilmarnock,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,15/03/00,St Johnstone,Hearts,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,18/03/00,Hibernian,Hearts,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,18/03/00,Rangers,Motherwell,6.0,2.0,H,4.0,2.0,H,,,,,,,,,,,
Scotland,Premier League,18/03/00,St Johnstone,Kilmarnock,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,21/03/00,Hibernian,Dundee,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,22/03/00,Hearts,Aberdeen,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,25/03/00,Dundee United,Aberdeen,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,25/03/00,Hearts,Motherwell,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,25/03/00,Kilmarnock,Hibernian,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,25/03/00,St Johnstone,Dundee,2.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,26/03/00,Rangers,Celtic,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,01/04/00,Aberdeen,Rangers,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,01/04/00,Dundee,Hearts,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,01/04/00,Hibernian,Dundee United,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,01/04/00,Motherwell,St Johnstone,2.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,02/04/00,Celtic,Kilmarnock,4.0,2.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,04/04/00,Rangers,Dundee United,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,05/04/00,Celtic,Motherwell,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,08/04/00,Dundee,Motherwell,4.0,1.0,H,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,08/04/00,Hearts,Celtic,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,08/04/00,Kilmarnock,Dundee United,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,12/04/00,Hearts,Rangers,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,12/04/00,Kilmarnock,Aberdeen,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,15/04/00,Aberdeen,Hearts,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,15/04/00,Celtic,Dundee,2.0,2.0,D,2.0,1.0,H,,,,,,,,,,,
Scotland,Premier League,15/04/00,Dundee United,Rangers,0.0,2.0,A,0.0,2.0,A,,,,,,,,,,,
Scotland,Premier League,15/04/00,Hibernian,St Johnstone,3.0,3.0,D,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,16/04/00,Motherwell,Kilmarnock,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,18/04/00,Aberdeen,Dundee,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,19/04/00,Motherwell,Dundee United,1.0,3.0,A,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,22/04/00,Aberdeen,Motherwell,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,22/04/00,Celtic,Hibernian,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,22/04/00,Dundee,Kilmarnock,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,22/04/00,Hearts,Dundee United,1.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,23/04/00,St Johnstone,Rangers,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,29/04/00,Dundee United,St Johnstone,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,29/04/00,Hibernian,Aberdeen,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,29/04/00,Kilmarnock,Hearts,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,29/04/00,Motherwell,Celtic,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,30/04/00,Rangers,Dundee,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,02/05/00,Dundee United,Celtic,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,02/05/00,St Johnstone,Aberdeen,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,03/05/00,Rangers,Hibernian,5.0,2.0,H,2.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,06/05/00,Celtic,Aberdeen,5.0,1.0,H,3.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,06/05/00,Dundee,Dundee United,3.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,06/05/00,Hearts,St Johnstone,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,06/05/00,Motherwell,Hibernian,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Scotland,Premier League,07/05/00,Kilmarnock,Rangers,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Scotland,Premier League,13/05/00,Dundee United,Motherwell,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,
Scotland,Premier League,13/05/00,Rangers,Hearts,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Scotland,Premier League,13/05/00,St Johnstone,Celtic,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
